census_tract,ces_30_score,ozone,pm25,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,poverty,unemployment,housing_burden,hispanic,white,african_american,native_american,asian_american,other,pct_nonwhite
6077003801,41.4562358694716,0.047908481,11.63,3.768065709,545.264406271491,92.21428588,938.3189994,212.31,0.0,6.0,0.0,14,2.5,5.52132738685383,118.08,5.19,13.64,25.3,39.8,13.9,17.5,38.9,12.6,21.2,0.3,23.0,4.0,87.39999999999999
6111002400,41.4501340883353,0.046178296,9.53630303,16.63887234,345.572255457599,6644.528718,32.84695545,1146.03,22.0,33.0,0.05,3,2.0,6.65031356381958,52.88,8.94,8.98,11.5,40.5,7.0,18.4,23.1,67.7,2.6,1.1,1.8,3.7,32.300000000000004
6085503117,41.4489395415586,0.037784754,10.37,33.68713086,479.227885783645,0.0,191.6610001,764.65,4.7,7.0,0.6,2,3.2,5.66695959348563,56.72,3.21,10.84,41.8,62.6,14.3,29.3,58.7,2.5,0.9,0.0,37.5,0.4,97.5
6037212900,41.4435903053195,0.047908481,12.89,29.76,664.069078404159,0.0,2594.271699,1256.99,0.9,5.0,0.1,0,0.0,6.18504051877232,66.41,3.11,8.61,39.9,62.1,8.3,36.2,54.3,6.2,11.8,0.0,25.9,1.8,93.8
6071010011,41.4434774532726,0.064888548,7.02122524,18.40378499,685.938942899358,0.0,139.4894222,922.78,0.0,0.0,0.375,0,5.25,5.18836499958669,64.49,5.7,11.55,32.6,64.1,17.5,29.3,58.2,29.6,8.0,0.4,1.9,1.9,70.40000000000002
6065041411,41.4337299296919,0.059636183,12.89,31.93,1059.81907543309,0.0,5398.51613,444.31,1.25,15.6,0.1,0,0.0,6.57112613519505,35.67,4.97,10.3,36.0,53.1,11.3,19.7,81.0,14.5,1.5,0.5,1.8,0.8,85.6
6047000503,41.4295947995402,0.057293727,12.89,3.172840012,625.560293736985,2482.620837,29.70198864,135.33,24.0,135.0,0.1,7,9.2,7.47236156979866,46.77,4.4,7.7,29.0,42.8,10.8,16.5,40.0,35.7,14.9,2.1,5.3,2.0,64.3
6077003312,41.4236359201931,0.046178296,13.44,12.48262785,278.756234647944,0.0,411.2844459,630.91,4.0,4.5,0.06,5,0.0,4.81582582141859,88.07,4.86,10.04,41.2,76.7,27.4,39.9,58.8,8.9,11.6,0.5,17.1,3.1,91.1
6077003500,41.4181997766175,0.047908481,13.13,9.727753471,1047.22299874407,388.5565413,584.1386538,1024.87,3.5,3.5,0.325,7,0.0,7.36284127039115,37.44,5.92,8.1,15.4,33.9,12.5,15.6,26.2,24.3,6.4,0.3,38.8,3.9,75.6
6013313102,41.3923270996523,0.04012721,7.85958451,19.74175762,142.69221438136,0.0,761.1797914,822.41,13.7,36.85,0.4,3,2.0,5.35294503254598,144.18,7.28,13.8,20.2,22.8,14.5,15.9,35.5,25.0,23.7,0.7,11.2,3.9,75.00000000000001
