YEAR,POVERTY_MATH_SCORE_CORR
2003,-0.6139757472179902
2005,-0.6294874164400409
2007,-0.4990325494749854
2009,-0.6589314344656153
2011,-0.6235858615931441
2013,-0.7051250578869445
2015,-0.6988685992423339
