STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,FED_PER_STUDENT,STATE_PER_STUDENT,TOTAL_PER_STUDENT,PCT_IN_POVERTY,PCT_WITH_BA
CA,2003,6226552.0,59815855.0,5795655.0,33617766.0,227.45498179673598,267.049500585455,205.632437100793,255.07337956310002,930.7968519334618,5399.098248918503,9606.577605069386,13.1,29.6894531
CA,2005,6307022.0,62171797.0,7148863.0,34912166.0,230.36695749900002,268.558128581435,206.512026480797,264.184509633385,1133.4767819107021,5535.443827530648,9857.551947654536,13.2,30.4660005
CA,2007,6288686.0,72516936.0,7200298.0,42333637.0,230.034091233638,270.381784005669,208.52218596154998,268.159428117446,1144.9606483771013,6731.7142245613795,11531.333572705014,12.7,32.846728399999996
CA,2009,6234155.0,73958896.0,9745250.0,40084244.0,231.674927207631,270.448588146426,209.762405377999,254.89524659554002,1563.2030323275567,6429.779817794071,11863.499704450722,15.3,30.8910876
CA,2011,6202604.0,70953331.0,9990221.0,37752712.0,234.164993212459,272.769803091291,211.35863599994,261.28525201639997,1610.649494954055,6086.590728668152,11439.281147079517,16.9,32.090333799999996
CA,2013,6208733.0,68868516.0,7836263.0,35141208.0,233.65446462441287,275.901350652197,212.54596789306305,260.448287236627,1262.1356080217975,5659.964440409985,11092.201259097468,14.9,34.8605459
CA,2015,6226523.0,78248042.0,7556365.0,42360470.0,231.54934500615502,275.324573012154,212.677948539849,258.76826797665797,1213.576983494641,6803.230310078353,12566.891987711277,13.9,34.7341433
